dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,activities-distance,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,activities-activityCalories,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
11/7/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/8/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/9/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/10/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/11/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/12/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/13/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/14/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/15/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/16/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/17/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/18/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/19/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
11/20/2013,0,0,1474,1474,0,0,1440,0,0,0,0,,0,0,0,0,0,0,0,67.132,23.20176315,0
